trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
155,False,"{'a': 0.5, 'e': 0.459809050793975}",25,11,-6.2097776722964335,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.4575100055400051}",25,9,13.269736403992459,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
157,False,"{'a': 0.5, 'e': 0.45522245551230506}",25,10,-42.178885560602716,"{0: 12, 1: 1, 2: 0, 3: 1, 4: 1}",1
158,False,"{'a': 0.5, 'e': 0.45294634323474353}",25,0,-70.77915787588195,"{0: 21, 1: 0, 2: 0, 3: 3, 4: 1}",0
159,False,"{'a': 0.5, 'e': 0.45068161151856984}",20,11,16.16666930212662,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.44842820346097695}",25,0,-81.11354022413954,"{0: 20, 1: 1, 2: 2, 3: 0, 4: 2}",0
161,False,"{'a': 0.5, 'e': 0.4461860624436721}",25,0,-77.32472848058971,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
162,False,"{'a': 0.5, 'e': 0.4439551321314537}",20,0,-39.80428957441952,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
163,False,"{'a': 0.5, 'e': 0.4417353564707965}",35,17,-84.71557193030179,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 2}",1
164,False,"{'a': 0.5, 'e': 0.43952667968844245}",20,0,-69.99582941914034,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
165,False,"{'a': 0.5, 'e': 0.43732904629000025}",25,0,-37.055320533556255,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
166,False,"{'a': 0.5, 'e': 0.43514240105855023}",20,3,-88.05357142353796,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 1}",1
167,False,"{'a': 0.5, 'e': 0.4329666890532575}",20,0,-5.703133516415548,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
168,False,"{'a': 0.5, 'e': 0.4308018556079912}",20,0,-28.83975125591084,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
169,False,"{'a': 0.5, 'e': 0.42864784632995123}",20,0,-23.355026047210657,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",0
170,False,"{'a': 0.5, 'e': 0.4265046070983015}",25,0,-109.82106535776973,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
